trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
58643686-2fee-4f96-88a6-159ac617ce72,09:49:00,09:49:00,5182 9,18,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:51:00,09:51:00,5125 1,19,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:52:00,09:52:00,5124 1,20,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:52:00,09:52:00,5123 1,21,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:53:00,09:53:00,5122 1,22,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:54:00,09:54:00,5121 1,23,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:55:00,09:55:00,5035 1,24,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:56:00,09:56:00,5036 1,25,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,09:59:00,09:59:00,5361 1,26,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,10:01:00,10:01:00,5037 1,27,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,10:01:00,10:01:00,5039 1,28,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,10:02:00,10:02:00,5041 1,29,臼杵市役所,0,0,,
58643686-2fee-4f96-88a6-159ac617ce72,10:02:00,10:02:00,5042 1,30,臼杵市役所,1,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,07:37:00,07:37:00,5216 9,1,観光交流プラザ,0,1,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,07:40:00,07:40:00,5626 9,2,本丁,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,07:42:00,07:42:00,5218 1,3,北海添,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,07:45:00,07:45:00,5231 9,4,西海添,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,07:47:00,07:47:00,5210 9,5,南海添,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,07:48:00,07:48:00,5211 9,6,上塩田,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,07:49:00,07:49:00,5212 9,7,塩田公民館前,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,07:50:00,07:50:00,5213 9,8,田町,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,07:52:00,07:52:00,5214 9,9,中州住宅前,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,07:55:00,07:55:00,5215 9,10,バイパス市浜,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,07:56:00,07:56:00,5207 1,11,市浜コミュニティセンター,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,07:58:00,07:58:00,5228 9,12,あすとぴあ,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:01:00,08:01:00,5204 1,13,コスモス病院,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:04:00,08:04:00,5203 9,14,第一木保佐,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:05:00,08:05:00,5201 1,15,江無田苑,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:07:00,08:07:00,5181 9,16,江無田,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:08:00,08:08:00,5220 1,17,新地中通,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:09:00,08:09:00,5221 1,18,下市浜,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:10:00,08:10:00,5222 1,19,市浜入口,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:12:00,08:12:00,5226 9,20,臼杵市歴史資料館,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:13:00,08:13:00,5227 9,21,畳屋町駐車場前,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:15:00,08:15:00,5208 9,22,サーラ・デ・うすき,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:17:00,08:17:00,5229 1,23,辻,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:18:00,08:18:00,5217 9,24,城北,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:20:00,08:20:00,5223 1,25,中央公民館,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:22:00,08:22:00,5224 9,26,城南,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:23:00,08:23:00,5225 1,27,臼杵駅,0,0,,
7d122760-bf4c-4105-8a3a-22cee8efc3ba,08:26:00,08:26:00,5216 9,28,,1,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,08:51:00,08:51:00,5042 2,1,上松,0,1,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,08:51:00,08:51:00,5041 2,2,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,08:52:00,08:52:00,5039 2,3,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,08:54:00,08:54:00,5361 1,4,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,08:55:00,08:55:00,5037 2,5,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,08:57:00,08:57:00,5036 2,6,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,08:58:00,08:58:00,5035 2,7,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,08:59:00,08:59:00,5121 2,8,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:00:00,09:00:00,5122 2,9,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:01:00,09:01:00,5123 2,10,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:01:00,09:01:00,5124 2,11,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:02:00,09:02:00,5125 2,12,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:04:00,09:04:00,5182 9,13,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:05:00,09:05:00,5183 9,14,上松,0,0,,
e071bd08-f59d-4881-b9a1-2edb2a7ba71a,09:06:00,09:06:00,5184 9,15,上松,0,0,,
