service_id,date,exception_type
日曜・祝日,20261220,2
土曜,20261226,1
平日（月～金）,20261226,2
日曜・祝日,20261226,2
土曜,20261227,1
平日（月～金）,20261227,2
日曜・祝日,20261227,2
土曜,20261229,1
平日（月～金）,20261229,2
日曜・祝日,20261229,2
土曜,20261230,1
平日（月～金）,20261230,2
日曜・祝日,20261230,2
土曜,20261231,1
平日（月～金）,20261231,2
日曜・祝日,20261231,2
